date,lastSyncTime,steps,distance,runDistance,calories
2019-09-25,1569428897,6339,4137,424,129
2019-09-26,1569515352,6744,4399,620,138
2019-09-27,1569608902,9992,6495,633,207
2019-09-28,1569688177,2881,1909,364,69
2019-09-29,1569774541,5751,3783,439,126
2019-09-30,1569859682,9389,6425,524,198
2019-10-01,1569946033,12419,8099,630,249
2019-10-02,1570032441,7243,4755,551,149
2019-10-03,1570118844,7457,4928,383,156
2019-10-04,1570205257,7155,4629,515,141
2019-10-05,1570291738,6798,4467,519,143
2019-10-06,1570378040,3635,2401,452,83
2019-10-07,1570464515,9669,6276,565,189
2019-10-08,1570550889,7442,4958,523,154
2019-10-09,1570636928,13411,8732,826,265
2019-10-10,1570723328,5692,3727,578,126
2019-10-11,1570809810,4663,3018,409,104
2019-10-12,1570896172,2302,1560,265,55
2019-10-13,1570982550,3198,2163,594,80
2019-10-14,1571069010,6241,4026,480,127
2019-10-15,1571155456,7871,5181,503,164
2019-10-16,1571241782,5511,3663,651,120
2019-10-17,1571328216,5939,3914,628,122
2019-10-18,1571414590,6374,4173,596,139
2019-10-19,1571501097,2408,1562,139,48
2019-10-20,1571587416,2364,1648,519,61
2019-10-21,1571673889,6028,4016,443,130
2019-10-22,1571760380,6950,4575,547,145
2019-10-23,1571846631,7827,5090,516,159
2019-10-24,1571933279,7617,4968,536,160
2019-10-25,1572019638,9738,6332,697,216
2019-10-26,1572106118,10509,7204,712,234
2019-10-27,1572192353,6053,3907,461,129
2018-01-01,1514824598,5850,4068,1109,148
2018-01-02,1514912193,7644,5390,406,178
2018-01-03,1514998167,8171,5771,694,190
2018-01-04,1515082656,9417,6606,782,213
2018-01-05,1515172466,9191,6472,585,210
2018-01-06,1515290783,2098,1483,620,63
2018-01-07,1515361932,5343,3823,421,124
2018-01-08,1515436947,10372,7143,488,214
2018-01-09,1515535580,7861,5603,385,187
2018-01-10,1515621781,3944,2555,425,80
2018-01-11,1515686700,6164,4000,483,123
2018-01-12,1515896265,6498,4448,940,159
2018-01-13,1515896265,1916,1380,579,57
2018-01-14,1515962144,6306,4220,288,127
2018-01-15,1516065547,9499,6571,391,205
2018-01-16,1516189141,4062,2623,319,80
2018-01-17,1516239454,4521,2920,336,88
2018-01-18,1516291783,4441,2865,286,91
2018-01-19,1516381794,4801,3320,491,105
2018-01-20,1516464603,2060,1369,252,48
2018-01-21,1516551026,5104,3466,1093,128
2018-01-22,1516637421,5378,3477,498,118
2018-01-23,1516723832,6395,4138,632,138
2018-01-24,1516810242,5965,3834,555,129
2018-01-25,1516896650,5317,3461,407,118
2018-01-26,1516982992,4277,2790,558,93
2018-01-27,1517071203,5601,3619,535,125
2018-01-28,1517157622,10429,7384,2712,276
2018-01-29,1517242223,12261,8668,545,277
2018-01-30,1517328631,8047,5576,500,177
2018-01-31,1517415041,6216,4045,424,123
2018-02-01,1517501454,7735,5362,507,168
2018-02-02,1517587862,7170,4854,334,161
2018-02-03,1517674285,4832,3251,587,110
2018-02-04,1517760686,4063,2812,947,106
2018-02-05,1517847094,9521,6507,537,200
2018-02-06,1517933504,5866,3861,525,124
2018-02-07,1518019913,7491,5405,361,183
2018-02-08,1518106322,8071,5643,384,178
2018-02-09,1518192749,11095,7630,1009,247
2018-02-10,1518279144,1463,944,223,39
2018-02-11,1518365552,3303,2243,283,73
2018-02-12,1518451967,9743,6793,434,216
2018-02-13,1518538381,487,313,92,10
2018-02-14,1520531638,6488,4529,1300,168
2018-02-15,1520531636,8331,5421,511,179
2018-02-16,1518797604,10051,6802,1389,227
2018-02-17,1518887985,5246,3448,774,118
2018-02-18,1518970484,4649,3447,1787,147
2018-02-19,1519056836,9578,6643,1386,224
2018-02-20,1519143246,4337,3013,882,110
2018-02-21,1519229656,6350,4181,579,128
2018-02-22,1519316067,5612,3762,246,116
2018-02-23,1519402483,6412,4364,310,135
2018-02-24,1519488887,3836,2804,1185,116
2018-02-25,1519575300,2139,1375,209,44
2018-02-26,1519661724,2007,1298,177,42
2018-02-27,1519748131,8788,6025,443,178
2018-02-28,1519834531,4297,3113,1374,125
2018-03-01,1519920944,4874,3205,446,101
2018-03-02,1520007355,7260,4884,786,162
2018-03-03,1520093764,3136,2342,1293,99
2018-03-04,1520180176,2984,1932,282,67
2018-03-05,1520266585,4335,2801,386,90
2018-03-06,1520353003,15593,10811,509,327
2018-03-07,1520439402,8556,6008,519,194
2018-03-08,1520525812,8708,6079,483,199
2018-03-09,1520612219,4884,3197,454,103
2018-03-10,1520700445,7810,5415,628,173
2018-03-11,1520785041,6397,4711,1361,176
2018-03-12,1520873253,3862,2570,308,82
2018-03-13,1520957862,3786,2487,321,82
2018-03-14,1521044271,2079,1372,208,45
2018-03-15,1521130681,2871,1865,251,63
2018-03-16,1521260295,6441,4325,642,145
2018-03-17,1521303500,4252,2865,460,87
2018-03-18,1521389911,5391,3946,1891,164
2018-03-19,1521476320,4960,3281,456,100
2018-03-20,1521562729,4746,3162,303,102
2018-03-21,1521649140,10734,7423,461,236
2018-03-22,1521735562,2673,1733,195,56
2018-03-23,1521821960,4063,2662,298,81
2018-03-24,1521908397,6319,4336,648,145
2018-03-25,1521994782,5706,4382,2510,184
2018-03-26,1522081190,2761,1798,237,59
2018-03-27,1522167601,5812,3813,514,126
2018-03-28,1522254025,5985,3978,429,126
2018-03-29,1522340424,5759,3892,478,127
2018-03-30,1522426846,6800,4707,730,158
2018-03-31,1522513266,1682,1103,152,39
2018-04-01,1522599646,1192,766,99,30
2018-04-02,1522686075,5353,3614,243,110
2018-04-03,1522772484,3359,2180,383,69
2018-04-04,1522858894,6720,4429,562,142
2018-04-05,1522945307,5628,3762,438,119
2018-04-06,1523060713,1728,1292,684,59
2018-04-07,1523118146,1799,1178,298,43
2018-04-08,1523204534,5231,3478,634,111
2018-04-09,1523290945,4089,2685,487,87
2018-04-10,1523377355,3352,2201,323,72
2018-04-11,1523463765,2856,1885,155,61
2018-04-12,1523550175,4920,3242,555,103
2018-04-13,1523638383,5410,3598,494,120
2018-04-14,1523722994,829,541,134,22
2018-04-15,1523809404,3126,2085,248,74
2018-04-16,1523895813,6041,4151,912,141
2018-04-17,1523982222,6135,4104,443,129
2018-04-18,1524068636,8203,5506,694,180
2018-04-19,1524155043,5620,3749,525,129
2018-04-20,1524241457,5346,3595,415,114
2018-04-21,1524327862,5717,3793,373,118
2018-04-22,1524414271,3764,2445,411,79
2018-04-23,1524502606,2752,1815,355,62
2018-04-24,1524596223,15,10,0,1
2018-04-25,1524673632,4909,3213,515,105
2018-04-26,1524760041,6111,4016,550,129
2018-04-27,1524846451,4333,2873,442,96
2018-04-28,1524970663,6839,4749,985,172
2018-04-29,1525037272,4946,3271,321,104
2018-04-30,1525105671,9234,6337,554,205
2018-05-01,1525192089,6997,4699,556,153
2018-05-02,1525278497,2962,1912,322,66
2018-05-03,1525364909,4225,2776,323,81
2018-05-04,1525451323,4978,3336,455,113
2018-05-05,1525537733,3042,2224,589,82
2018-05-06,1525624139,4011,2641,379,84
2018-05-07,1525709089,5061,3404,511,108
2018-05-08,1525796960,3359,2202,215,72
2018-05-09,1525883370,2860,1861,262,60
2018-05-10,1525969781,3485,2323,149,72
2018-05-11,1526056190,8371,5704,806,186
2018-05-12,1526142599,5234,3492,241,111
2018-05-13,1526227212,3303,2162,253,70
2018-05-14,1526313617,4159,2751,515,86
2018-05-15,1526400032,2769,1827,178,58
2018-05-16,1526486439,2685,1814,273,57
2018-05-17,1526572850,3252,2143,381,71
2018-05-18,1526659260,4104,2721,329,86
2018-05-19,1526745682,9067,6688,239,210
2018-05-20,1526832084,2743,1822,187,61
2018-05-21,1526918494,6295,4143,816,124
2018-05-22,1527004905,6524,4375,722,138
2018-05-23,1527091316,3685,2391,393,80
2018-05-24,1527177732,4033,2604,316,85
2018-05-25,1527265943,7560,5286,1139,177
2018-05-26,1527350557,6152,4093,333,125
2018-05-27,1527436963,6029,4003,487,130
2018-05-28,1527523372,7032,4589,568,144
2018-05-29,1527609810,6672,4537,1001,147
2018-05-30,1527696197,6443,4281,613,137
2018-05-31,1527782605,6208,4092,520,129
2018-06-01,1527869024,2998,1957,494,71
2018-06-02,1527955427,5229,3546,493,109
2018-06-03,1528041838,2381,1530,288,52
2018-06-04,1528128252,6485,4273,755,139
2018-06-05,1528214657,7222,4720,695,143
2018-06-06,1528301067,3372,2205,323,70
2018-06-07,1528387479,5797,3888,516,121
2018-06-08,1528473891,6757,4454,473,137
2018-06-09,1528560300,5435,3944,1699,145
2018-06-10,1528646709,6063,4036,812,129
2018-06-11,1528733117,4658,3180,389,105
2018-06-12,1528819526,5750,3827,510,119
2018-06-13,1528905937,4375,2881,417,94
2018-06-14,1528992349,3271,2167,299,73
2018-06-15,1529078758,5513,3690,555,120
2018-06-16,1529165192,5346,3511,477,118
2018-06-17,1529251579,2818,1925,682,69
2018-06-18,1529337936,4332,2821,427,88
2018-06-19,1529424400,7075,4788,670,143
2018-06-20,1529510810,9544,6389,779,196
2018-06-21,1529597223,6678,4454,581,139
2018-06-22,1529683640,5868,3821,515,120
2018-06-23,1529770054,1688,1092,278,44
2018-06-24,1529856058,4351,2803,422,89
2018-06-25,1529942868,5173,3370,533,106
2018-06-26,1530029277,7042,4585,625,135
2018-06-27,1530120034,4840,3124,508,98
2018-06-28,1530203908,8280,5358,763,164
2018-06-29,1530288510,9369,6122,904,184
2018-06-30,1530374918,6410,4264,585,129
2018-07-01,1530460986,9280,6283,693,203
2018-07-02,1530547737,3180,2079,388,67
2018-07-03,1530634154,8684,5812,480,170
2018-07-04,1530720557,11591,7538,671,223
2018-07-05,1530806969,12922,8671,1378,268
2018-07-06,1530893379,7884,5169,789,166
2018-07-07,1530979787,6576,4418,763,137
2018-07-08,1531069797,5598,3763,706,118
2018-07-09,1531152608,8984,5931,923,182
2018-07-10,1531239016,8501,5622,708,167
2018-07-11,1531325426,2087,1347,209,43
2018-07-12,1531411839,12555,8138,1072,244
2018-07-13,1531498247,7597,4935,776,150
2018-07-14,1531590054,2046,1341,225,43
2018-07-15,1531671065,2659,1728,305,54
2018-07-16,1531757479,12040,7889,836,244
2018-07-17,1531843886,6414,4188,923,133
2018-07-18,1531930295,7778,5032,913,162
2018-07-19,1532016704,8793,5810,991,187
2018-07-20,1532103119,7625,5042,633,160
2018-07-21,1532189526,6026,4085,444,127
2018-07-22,1532275938,3363,2184,423,69
2018-07-23,1532362344,7910,5211,602,152
2018-07-24,1532562705,9841,6470,846,201
2018-07-25,1532562705,30,19,0,1
2018-07-26,1532621575,6934,4584,693,141
2018-07-27,1532707991,10779,7123,896,216
2018-07-28,1532794393,4924,3250,397,106
2018-07-29,1532880803,7985,5451,433,168
2018-07-30,1532967212,7167,4649,656,142
2018-07-31,1533053624,6718,4412,744,137
2018-08-01,1533140032,7338,4857,564,153
2018-08-02,1533226446,6326,4123,518,126
2018-08-03,1533312860,5361,3478,473,108
2018-08-04,1533399264,1638,1053,212,36
2018-08-05,1533485675,2311,1545,338,57
2018-08-06,1533572084,6979,4542,551,141
2018-08-07,1533658494,7537,5132,1365,176
2018-08-08,1533744903,7129,4640,447,139
2018-08-09,1533831316,7043,4589,664,140
2018-08-10,1533917725,9693,6332,906,188
2018-08-11,1534004134,4023,2609,379,87
2018-08-12,1534090544,4713,3208,882,113
2018-08-13,1534176954,5843,3811,696,117
2018-08-14,1534342453,2481,1618,296,48
2018-08-15,1534349040,0,0,0,0
2018-08-16,1534436110,1425,916,129,29
2018-08-17,1534522483,7534,4940,456,151
2018-08-18,1534608896,2297,1499,336,52
2018-08-19,1534695302,4632,3231,703,106
2018-08-20,1534781713,6660,4476,965,149
2018-08-21,1534868123,10781,7250,880,227
2018-08-22,1534954532,12405,8460,760,254
2018-08-23,1535040942,14141,9742,993,297
2018-08-24,1535127349,5282,3435,626,104
2018-08-25,1535213761,3902,2536,272,76
2018-08-26,1535299390,3139,2039,298,67
2018-08-27,1535386617,8377,5529,841,167
2018-08-28,1535472993,7811,5104,810,162
2018-08-29,1535559405,6956,4502,621,143
2018-08-30,1535645811,12766,8647,824,254
2018-08-31,1535732223,6335,4143,434,131
2018-09-01,1535906847,464,304,137,10
2018-09-02,1535906847,0,0,0,0
2018-09-03,1535991453,6913,4518,773,135
2018-09-04,1536076845,8811,5779,641,171
2018-09-05,1536164274,5025,3259,386,98
2018-09-06,1536250687,7522,4983,973,163
2018-09-07,1536337095,6472,4293,758,136
2018-09-08,1536423506,3880,2647,695,83
2018-09-09,1536509911,4393,2867,374,90
2018-09-10,1536596321,4051,2655,381,83
2018-09-11,1536681896,6403,4186,534,135
2018-09-12,1536769146,8871,5863,807,185
2018-09-13,1536855561,4807,3115,301,94
2018-09-14,1536941967,4573,3013,483,92
2018-09-15,1537028378,7051,4962,491,160
2018-09-16,1537114787,4677,3079,593,99
2018-09-17,1537200519,6493,4332,925,143
2018-09-18,1537286928,6347,4137,691,124
2018-09-19,1537373337,6533,4251,533,128
2018-09-20,1537459745,4281,2806,368,84
2018-09-21,1537548236,6168,4101,555,127
2018-09-22,1537632851,5868,3785,464,119
2018-09-23,1537719268,6643,4324,672,141
2018-09-24,1537805672,4282,2925,605,102
2018-09-25,1537892089,6660,4479,523,132
2018-09-26,1537980653,7194,4879,555,150
2018-09-27,1538064365,5110,3343,396,100
2018-09-28,1538151315,5741,3746,590,119
2018-09-29,1538237726,1778,1143,233,39
2018-09-30,1538324138,3643,2345,282,74
2018-10-01,1538410544,9280,6046,840,189
2018-10-02,1538498753,10611,6983,1162,221
2018-10-03,1538583366,5349,3500,387,109
2018-10-04,1538669783,4705,3082,344,96
2018-10-05,1538756184,6816,4470,378,142
2018-10-06,1538869597,6910,4451,617,140
2018-10-07,1538929003,4581,3048,795,110
2018-10-08,1539015418,13089,9075,701,283
2018-10-09,1539101826,15039,9917,1194,308
2018-10-10,1539190036,2124,1383,226,45
2018-10-11,1539274646,5289,3499,605,111
2018-10-12,1539361057,9654,6398,1234,203
2018-10-13,1539447464,1187,763,166,28
2018-10-14,1539533875,5299,3671,246,123
2018-10-15,1539620283,8403,5502,861,169
2018-10-16,1539706693,6385,4157,507,133
2018-10-17,1539793102,8784,5761,748,180
2018-10-18,1539879513,5339,3615,628,116
2018-10-19,1539965924,5202,3359,436,104
2018-10-20,1540052331,4058,2768,412,89
2018-10-21,1540138742,2736,1836,314,61
2018-10-22,1540225157,6573,4327,712,138
2018-10-23,1540311021,9317,6140,708,196
2018-10-24,1540397996,6483,4256,789,139
2018-10-25,1540484488,9579,6340,800,197
2018-10-26,1540574398,9926,6648,912,203
2018-10-27,1540657206,3641,2361,402,81
2018-10-28,1540743617,3402,2401,966,84
2018-10-29,1540830029,8044,5328,1264,172
2018-10-30,1540916439,5350,3516,572,111
2018-10-31,1541002860,11902,8277,631,264
2018-11-01,1541089793,5446,3551,485,112
2018-11-02,1541175673,8116,5489,578,179
2018-11-03,1541262082,3740,2618,918,98
2018-11-04,1541348490,6106,4006,322,124
2018-11-05,1541434901,5580,3611,521,117
2018-11-06,1541520261,7039,4593,695,150
2018-11-07,1541607508,5623,3720,563,123
2018-11-08,1541693926,10948,7276,757,230
2018-11-09,1541779205,6149,4018,770,130
2018-11-10,1541867172,4001,2663,384,96
2018-11-11,1541952945,12266,8383,305,249
2018-11-12,1542039354,8963,5886,891,179
2018-11-13,1542125457,6538,4276,624,137
2018-11-14,1542211869,11208,7353,809,229
2018-11-15,1542297754,9533,6286,947,195
2018-11-16,1542384164,8982,6071,1059,192
2018-11-17,1542470575,2800,2011,80,71
2018-11-18,1542556977,5780,3751,352,117
2018-11-19,1542643398,13243,8947,1430,278
2018-11-20,1542729801,6070,4008,640,128
2018-11-21,1542816209,7313,4871,479,155
2018-11-22,1542904179,9080,6097,1348,203
2018-11-23,1542989122,7691,5020,695,158
2018-11-24,1543075415,3953,2703,721,99
2018-11-25,1543161771,5832,4117,1429,154
2018-11-26,1543248180,6817,4460,720,144
2018-11-27,1543334601,7173,4697,930,146
2018-11-28,1543421000,9424,6162,718,197
2018-11-29,1543507410,5207,3413,270,111
2018-11-30,1543593819,8592,5748,1165,187
2018-12-01,1543680226,4944,3604,1823,144
2018-12-02,1543766844,9476,6375,427,201
2018-12-03,1543854130,4432,2930,440,101
2018-12-04,1543940540,8968,5917,830,185
2018-12-05,1544026950,6339,4149,569,131
2018-12-06,1544113356,6662,4388,490,134
2018-12-07,1544199765,6063,4028,372,130
2018-12-08,1544286172,5947,4012,999,135
2018-12-09,1544372032,4895,3195,531,100
2018-12-10,1544458987,8361,5445,883,179
2018-12-11,1544545396,9614,6514,708,209
2018-12-12,1544631804,7803,5160,541,160
2018-12-13,1544718214,6907,4531,492,147
2018-12-14,1544803877,6895,4655,749,152
2018-12-15,1544891025,12644,8551,635,258
2018-12-16,1544976856,8031,5293,474,162
2018-12-17,1545063359,8098,5217,590,167
2018-12-18,1545149765,7814,5146,523,162
2018-12-19,1545236174,9120,6259,1110,202
2018-12-20,1545322585,7479,4996,522,158
2018-12-21,1545408989,7535,4925,525,156
2018-12-22,1545495396,5577,3641,474,126
2018-12-23,1545581806,6662,4357,606,133
2018-12-24,1545668212,7864,5272,676,168
2018-12-25,1545754621,8461,5682,579,172
2018-12-26,1545840805,7645,4968,575,156
2018-12-27,1545927231,7726,5129,517,167
2018-12-28,1546014510,13755,9337,717,297
2018-12-29,1546100917,6354,4306,701,144
2018-12-30,1546187331,2926,1880,297,65
2018-12-31,1546273739,2486,1634,423,58
2019-01-01,1546360148,5778,3830,689,123
2019-01-02,1546446561,8064,5321,758,167
2019-01-03,1546532966,8855,5911,708,182
2019-01-04,1546619376,8227,5413,788,170
2019-01-05,1546705784,1902,1267,149,44
2019-01-06,1546791476,3643,2378,346,78
2019-01-07,1546878063,1598,1029,225,35
2019-01-08,1546964475,6751,4442,477,142
2019-01-09,1547050882,6920,4575,656,148
2019-01-10,1547137292,7690,5059,908,171
2019-01-11,1547223701,8733,5768,784,186
2019-01-12,1547310109,2360,1549,358,57
2019-01-13,1547396517,4912,3326,836,125
2019-01-14,1547481670,9099,5976,623,188
2019-01-15,1547569341,9337,6228,809,193
2019-01-16,1547655743,8495,5662,963,182
2019-01-17,1547740830,9879,6413,594,201
2019-01-18,1547828564,6066,3977,571,122
2019-01-19,1547914091,13827,8933,773,266
2019-01-20,1548000839,8203,5326,564,159
2019-01-21,1548087271,9668,6388,600,192
2019-01-22,1548173797,12238,8025,685,247
2019-01-23,1548260206,10717,7141,845,222
2019-01-24,1548347001,8541,5582,818,180
2019-01-25,1548433407,8239,5503,537,177
2019-01-26,1548519816,1644,1059,192,36
2019-01-27,1548606055,6429,4297,482,140
2019-01-28,1548691586,10476,6853,629,211
2019-01-29,1548779043,7541,4959,522,151
2019-01-30,1548865451,6030,4024,487,131
2019-01-31,1548950620,10155,6823,744,218
2019-02-01,1549037272,11309,7642,637,247
2019-02-02,1549123682,4025,2618,451,91
2019-02-03,1549209650,13054,8498,919,272
2019-02-04,1549296060,11374,7413,858,229
2019-02-05,1549382994,2654,1705,191,56
2019-02-06,1549469544,7090,4902,1221,176
2019-02-07,1549555951,2958,2015,214,70
2019-02-08,1549641782,4914,3320,686,118
2019-02-09,1549728782,4183,2801,408,87
2019-02-10,1549816081,2399,1567,204,52
2019-02-11,1549902498,6628,4480,732,150
2019-02-12,1549988897,6482,4276,537,136
2019-02-13,1550075306,5666,3738,415,124
2019-02-14,1550161727,5377,3588,710,114
2019-02-15,1550248124,7114,4671,639,150
2019-02-16,1550334531,4863,3214,439,106
2019-02-17,1550420939,3883,2620,340,86
2019-02-18,1550507356,8115,5329,684,164
2019-02-19,1550593760,5168,3407,433,105
2019-02-20,1550680171,5888,3857,422,124
2019-02-21,1550766575,6936,4606,810,145
2019-02-22,1550852983,5269,3493,690,110
2019-02-23,1550939391,7905,5348,1305,177
2019-02-24,1551025798,5535,3716,555,125
2019-02-25,1551110414,6020,3995,503,124
2019-02-26,1551196824,6437,4248,546,133
2019-02-27,1551283229,5972,3927,621,118
2019-02-28,1551369633,8764,6023,393,189
2019-03-01,1551456038,2775,1835,183,65
2019-03-02,1551543548,3831,2738,1263,107
2019-03-03,1551629949,2155,1431,112,50
2019-03-04,1551716354,6270,4136,441,125
2019-03-05,1551802768,6645,4417,699,145
2019-03-06,1551889171,6210,4074,535,132
2019-03-07,1551975588,6758,4405,469,131
2019-03-08,1552061998,9369,6148,746,200
2019-03-09,1552148395,1327,893,177,33
2019-03-10,1552234813,5334,3489,605,114
2019-03-11,1552321222,6875,4447,557,142
2019-03-12,1552407114,5667,3705,478,119
2019-03-13,1552493521,6317,4132,475,137
2019-03-14,1552581731,8298,5479,674,184
2019-03-15,1552666497,10122,6747,976,224
2019-03-16,1552752904,3491,2268,309,74
2019-03-17,1552839312,7578,5130,1528,178
2019-03-18,1552925728,7633,5016,608,162
2019-03-19,1553012132,6617,4361,638,146
2019-03-20,1553098543,6390,4194,501,131
2019-03-21,1553184954,6772,4538,654,151
2019-03-22,1553271358,8201,5445,536,174
2019-03-23,1553358394,2686,1772,345,62
2019-03-24,1553444800,3752,2654,193,96
2019-03-25,1553531208,8953,5875,684,186
2019-03-26,1553617616,11450,7513,716,240
2019-03-27,1553704024,13377,8675,740,257
2019-03-28,1553790432,7213,4721,696,153
2019-03-29,1553876840,11101,7272,849,230
2019-03-30,1553963250,3684,2456,857,91
2019-03-31,1554048430,7514,4930,428,158
2019-04-01,1554134846,7470,4876,615,153
2019-04-02,1554221437,13282,8727,716,270
2019-04-03,1554307845,19121,12646,1011,397
2019-04-04,1554394252,5147,3422,324,116
2019-04-05,1554480659,8293,5492,544,174
2019-04-06,1554567070,7384,4971,412,157
2019-04-07,1554653475,1593,1046,141,35
2019-04-08,1554739883,11663,7581,858,241
2019-04-09,1554826291,9938,6462,828,196
2019-04-10,1554912701,10202,6673,856,208
2019-04-11,1554999107,9091,5918,472,176
2019-04-12,1555085027,11144,7415,1175,239
2019-04-13,1555171435,4752,3243,286,108
2019-04-14,1555257847,4169,2712,283,91
2019-04-15,1555344265,8108,5273,642,156
2019-04-16,1555430664,3556,2322,330,72
2019-04-17,1555517074,7996,5297,745,164
2019-04-18,1555603490,7254,4701,683,148
2019-04-19,1555690732,6706,4409,580,136
2019-04-20,1555777135,3776,2481,461,88
2019-04-21,1555863553,3825,2533,370,88
2019-04-22,1555950297,11445,7627,809,237
2019-04-23,1556038070,9834,6488,721,210
2019-04-24,1556122678,9115,6104,503,189
2019-04-25,1556209089,7767,5117,491,168
2019-04-26,1556295497,10495,7081,467,214
2019-04-27,1556381906,5909,3997,436,132
2019-04-28,1556468318,3775,2522,434,87
2019-04-29,1556554721,6937,4514,725,142
2019-04-30,1556641158,6617,4283,451,136
2019-05-01,1556727548,4077,2700,551,84
2019-05-02,1556813951,6199,4037,591,120
2019-05-03,1556905754,11001,7195,739,213
2019-05-04,1556986767,3767,2464,241,79
2019-05-05,1557073176,8464,5469,407,165
2019-05-06,1557159596,6986,4556,488,137
2019-05-07,1557245994,11030,7298,1042,229
2019-05-08,1557332403,14477,9822,1161,303
2019-05-09,1557418814,8870,5871,616,179
2019-05-10,1557505223,8609,5613,752,178
2019-05-11,1557591627,7585,5226,802,171
2019-05-12,1557677846,3341,2167,263,67
2019-05-13,1557764253,17294,11804,709,355
2019-05-14,1557850662,7292,4766,671,143
2019-05-15,1557937071,16691,11447,893,355
2019-05-16,1558023478,6984,4562,765,141
2019-05-17,1558109888,7486,4961,543,160
2019-05-18,1558195557,649,443,47,15
2019-05-19,1558282710,5828,4085,1185,140
2019-05-20,1558369666,6505,4239,706,128
2019-05-21,1558456068,5897,3852,501,116
2019-05-22,1558542475,7441,4799,515,145
2019-05-23,1558628892,6223,4108,706,132
2019-05-24,1558715294,6118,3969,416,119
2019-05-25,1558801706,5857,3993,377,126
2019-05-26,1558888110,5123,3361,460,102
2019-05-27,1558972869,5432,3519,518,107
2019-05-28,1559059768,5805,3800,711,115
2019-05-29,1559146172,5478,3629,447,117
2019-05-30,1559232578,8192,5363,450,165
2019-05-31,1559318995,8427,5516,765,176
2019-06-01,1559405396,1689,1090,264,39
2019-06-02,1559491804,4158,2788,509,88
2019-06-03,1559578212,9081,6001,1110,183
2019-06-04,1559664620,8014,5398,547,165
2019-06-05,1559751033,8730,5769,731,176
2019-06-06,1559837438,8244,5500,1407,187
2019-06-07,1559923845,3140,2227,810,93
2019-06-08,1560010255,2720,1772,148,56
2019-06-09,1560097351,7441,4958,587,152
2019-06-10,1560183761,6078,3969,421,120
2019-06-11,1560269241,5831,3923,707,127
2019-06-12,1560355644,5491,3560,419,109
2019-06-13,1560442053,6317,4146,701,127
2019-06-14,1560528460,10446,7050,752,232
2019-06-15,1560614867,5169,3524,743,121
2019-06-16,1560701279,7194,4726,743,148
2019-06-17,1560787684,7011,4622,929,148
2019-06-18,1560874095,4962,3263,364,97
2019-06-19,1560960505,6323,4212,496,133
2019-06-20,1561046918,7511,4940,715,154
2019-06-21,1561133330,7373,4973,797,166
2019-06-22,1561219738,4096,2749,818,94
2019-06-23,1561306138,3389,2187,240,71
2019-06-24,1561392554,6958,4508,679,143
2019-06-25,1561478953,5979,3868,470,117
2019-06-26,1561565362,7763,5222,634,163
2019-06-27,1561651779,5125,3377,435,102
2019-06-28,1561738193,6810,4505,783,145
2019-06-29,1561824591,2910,1931,211,64
2019-06-30,1561911005,5311,3620,755,121
2019-07-01,1561997410,7577,4939,591,160
2019-07-02,1562083822,14068,9548,798,305
2019-07-03,1562170220,14699,9961,1307,316
2019-07-04,1562256639,14905,10102,978,304
2019-07-05,1562343468,5528,3675,388,117
2019-07-06,1562429883,2778,1790,436,60
2019-07-07,1562516187,4502,2938,431,92
2019-07-08,1562602588,6176,4135,484,134
2019-07-09,1562688997,4190,2725,323,85
2019-07-12,1562948006,5189,3458,449,116
2019-07-13,1563034422,2553,1801,602,68
2019-07-14,1563120830,3537,2318,553,78
2019-07-15,1563207238,7149,4768,391,151
2019-07-16,1563293645,7128,4646,482,145
2019-07-17,1563380061,8470,5566,625,176
2019-07-18,1563466459,5356,3503,338,116
2019-07-19,1563552867,6495,4369,418,142
2019-07-20,1563639283,2878,1947,283,69
2019-07-21,1563725703,4919,3201,399,101
2019-07-22,1563812091,7372,4887,416,153
2019-07-23,1563898500,8364,5496,662,176
2019-07-24,1563984909,10273,6709,768,213
2019-07-25,1564071318,6171,4061,450,127
2019-07-26,1564157749,7233,4790,539,153
2019-07-27,1564244133,2136,1449,173,54
2019-07-28,1564330539,3686,2428,220,78
2019-07-29,1564416948,7037,4572,483,139
2019-07-30,1564503364,14189,9438,969,295
2019-07-31,1564589771,11821,7935,488,248
2019-08-01,1564676175,8048,5295,743,177
2019-08-02,1564762584,8190,5581,578,179
2019-08-03,1564848999,4035,2673,467,85
2019-08-04,1564935408,5431,3704,603,125
2019-08-05,1565021818,10007,6646,838,210
2019-08-06,1565108219,8383,5546,630,170
2019-08-07,1565196429,7895,5292,868,178
2019-08-08,1565281060,2288,1512,149,47
2019-08-09,1565367451,4242,2841,691,95
2019-08-10,1565453860,3822,2529,301,83
2019-08-11,1565540277,4451,2948,599,102
2019-08-12,1565626680,16064,10980,670,352
2019-08-13,1565713090,11413,7539,590,236
2019-08-14,1565799507,12263,8290,591,258
2019-08-15,1565885909,10970,7415,830,235
2019-08-16,1565972325,8495,5964,657,199
2019-08-17,1566058746,7996,5418,399,169
2019-08-18,1566145167,6928,4718,645,153
2019-08-19,1566231582,8814,5904,938,192
2019-08-20,1566318000,9493,6259,885,197
2019-08-21,1566404412,9967,6583,584,207
2019-08-22,1566490837,9900,6475,804,211
2019-08-23,1566577237,21993,14455,1470,440
2019-08-24,1566663662,7056,4619,539,154
2019-08-25,1566750058,6488,4239,467,141
2019-08-26,1566836267,14829,9614,1084,298
